"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'A Penny Plain and Twopence Coloured' ... Reprinted from The Magazine of Art of 1884. Illustrated with Victorian woodcuts, etc","","003501427","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Thule Press","1948","","8 pages (8°)","","11868.m.5","","","English","",""
"'A Penny Plain and Twopence Coloured' : from Memories and Portraits, 1887","","003501426","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Benjamin Pollock","1948","","","","12360.df.48","","","English","",""
"'A child's garden of verses' : song cycle by Ronald Stevenson, words by Robert Louis Stevenson : an analysis and commentary","","008372191","Monograph","Language material ; Text","Volume","GB9811295","","","Scott-Sutherland, Colin","1930-2012","person","","Ronald Stevenson Society [organisation] ; Scott-Sutherland, Colin, 1930-2012 [person]","","","Scotland","Crail","C. Scott-Sutherland","1994","","volumes, 30 pages, 2 pages of colour plates, illustrations, music, portraits, 30 cm","","","Stevenson, Ronald, 1928-2015--Songs and music--History and criticism ; Stevenson, Robert Louis, 1850-1894","","English","At head of title: The Ronald Stevenson Society ; Limited edition of 50 copies",""
"'A penny plain and twopence coloured' : from Memories and portraits, 1887","Memories and portraits. Selections","016661122","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","","Keen, Frances [person] ; Stevenson, Robert Louis, 1850-1894 [person] ; Keen, Alan [person]","","","England ; United Kingdom","","Favil Press","1947","","12 unnumbered pages, 20 cm","823.8","YD.2014.b.312","Scotland--Social life and customs--19th century ; Authors, Scottish--19th century--Biography ; Stevenson, Robert Louis, 1850-1894","Biography","English","Title from first page",""
"'Cummy,' the nurse of Robert Louis Stevenson : a tribute to the memory of Alison Cunningham","","001547601","Monograph","Language material ; Text","Volume","","","","Guthrie, Charles John Guthrie, Lord","1849-1920","person","author","Guthrie, Charles John Guthrie, Lord, 1849-1920, author [person]","","","Scotland","Edinburgh","Otto Schulze","1913","","31 pages, illustrations (8°)","","10827.a.66","Cunningham, Alison, 1822-1913 ; Stevenson, Robert Louis, 1850-1894","","English","",""
"'FABLES,' by Robert Louis Stevenson. Holograph. First published in Longmans's Magazine, Aug. and Sept. 1895, Vol. 26, pp. 362, 472; afterwards appended to a new edition of The Strange Case of Dr. Jekyll and Mr. Hyde (Longmans, Green, and Co, 1896) with an introduction by Sir Sidney Colvin. The first separate edition was publislied in 1902. Two of the fables, 'The Cart-Horse and the Saddle-Horse' and 'The Tadpole and the Frog,' appear to have been printed from the corrected pencil versions on f. 22 b, in preference to those in ink on ff. 23, 24. Only pencil versions exist of 'The Penitent,' here with no title, f. 22; 'The Four Reformers,' f. 22; 'The Reader,' f. 20; and 'The Citizen and the Traveller,' f. 22. The moral to 'The Man and his Friend,' f. 19, is omitted in the published editions. On f. 1 is a list of sixteen titles, six of which differ from the printed work, as does the order; the list is headed 'Aesop in the Fog,' over a cancelled heading, 'The Fabulist.' Drafts of some verses occur on f. 1 b : and on f. 20 b are the address of an English chemist at Hyères and some scribblings relating to music editions. Paper; ff. 49. Folio and quarto. Stevenson sale-cat, Anderson Auction Co, New York, 24 Nov. 1914, lot 376","","032-002058628","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000039.0x0002e2","","","","","","","","","","","","[19th century]","","1 item","","Western Manuscripts. Add MS 39173","Stevenson, Robert Louis, writer","","English","Robert Louis Stevenson, writer: Fables: bef. 1896.: Autogr",""
"'Monsieur de la Plume' : Fragments from the life of Robert Louis Stevenson","","004626108","Monograph","Notated music","Volume","","","","Rowley, Alec","1892-1958","person","","Hazell, Chris [person] ; Rowley, Alec, 1892-1958 [person]","","","England","London","Edwin Ashdown","1972","","1 vocal score (48 pages), 8°","780","E.353.p. (1.)","Stevenson, Robert Louis, 1850-1894","","","Staff and tonic sol-fa notation",""
"'R.L.S.' : an essay","","003308694","Monograph","Language material ; Text","Volume","","","","Schwob, Marcel","1867-1905","person","author","Lenalie, A. (Aimee), -1924, translator [person] ; Schwob, Marcel, 1867-1905, author [person]","","","United States of America","Portland, Maine","Thomas Bird Mosher","1920","","xv, 45 pages, 19 cm","","Cup.407.bb.2","Stevenson, Robert Louis, 1850-1894","","English","number 20 of an edition of fifty copies on Japan vellum. Signed by the publisher",""
"'Robert Louis Stevenson', an essay","","000739834","Monograph","Language material ; Text","Volume","","","","Cole, David Henry","","person","author","Cole, David Henry, author [person]","","","","","","1913","","","","X.709/14359","Stevenson, Robert Louis, 1850-1894","","English","",""
"3 Songs from A Child's Garden of Verses","","015020757","Monograph","Notated music","Volume","","","","Nevin, Ethelbert","1862-1901","person","","Nevin, Ethelbert, 1862-1901 [person] ; Stevenson, Robert Louis, 1850-1894 [person]","","","","","Boosey","1893","","","780","W89/5538","","","","voice & pf",""
